pmid,tier,model,design,confidence,reason,parse_error,latency_s,cost_usd,call_started_utc
38890438,sonnet,claude-sonnet-4-6,cross_sectional,high,"A single survey was administered to 1178 adults measuring gaming, gambling, and autism characteristics at one time point.",,3.19,0.01228,2026-05-21T05:08:46.120638+00:00
38890438,opus,claude-opus-4-7,cross_sectional,high,Single survey of 1178 adults via Prolific measuring expenditure and traits at one time point.,,3.63,0.087975,2026-05-21T05:08:46.120779+00:00
37594878,sonnet,claude-sonnet-4-6,cross_sectional,high,"Abstract explicitly states 'large cross-sectional, cross-national survey' with self-reported measures at a single time point.",,3.36,0.012313,2026-05-21T05:08:49.312148+00:00
37594878,opus,claude-opus-4-7,cross_sectional,high,"Abstract explicitly describes a 'large cross-sectional, cross-national survey' with N=1,049 participants at a single time point.",,4.9,0.0888,2026-05-21T05:08:49.755805+00:00
37594878,haiku,claude-haiku-4-5,cross_sectional,high,"Abstract explicitly states 'large cross-sectional, cross-national survey' design with single time-point measurement.",,9.18,0.007453,2026-05-21T05:08:46.122734+00:00
38890438,haiku,claude-haiku-4-5,cross_sectional,high,Single timepoint survey recruiting 1178 adults to measure associations between autistic characteristics and microtransaction spending.,,9.43,0.007136,2026-05-21T05:08:46.120495+00:00
39264722,sonnet,claude-sonnet-4-6,cross_sectional,high,Representative sample recruited at a single time point via stratified random sampling in school settings with no follow-up.,,4.67,0.012809,2026-05-21T05:08:54.659634+00:00
39264722,opus,claude-opus-4-7,cross_sectional,high,"Nationally representative single-time-point survey of 3,950 Czech adolescents via stratified random sampling, with no repeated measures.",,6.42,0.092663,2026-05-21T05:08:55.303692+00:00
32379808,sonnet,claude-sonnet-4-6,content_analysis,high,"Structured coding of 463 Steam games' monetisation features (loot boxes, microtransactions) across 2010–2019 game content.",,3.55,0.012771,2026-05-21T05:08:59.329286+00:00
39264722,haiku,claude-haiku-4-5,cross_sectional,high,Nationally representative sample at single timepoint with stratified random sampling; measures prevalence and associations.,,11.99,0.00822,2026-05-21T05:08:52.671796+00:00
32379808,opus,claude-opus-4-7,content_analysis,high,"Structured analysis of 463 most-played Steam games coding presence of loot boxes, cosmetic, and pay-to-win microtransactions over 2010-2019.",,3.59,0.090506,2026-05-21T05:09:01.721346+00:00
40161348,sonnet,claude-sonnet-4-6,scale_validation,high,"Study translates RLI into Chinese and evaluates it via EFA and CFA, assessing psychometric properties.",,2.92,0.012681,2026-05-21T05:09:04.662873+00:00
32379808,haiku,claude-haiku-4-5,content_analysis,high,"Paper systematically coded 463 games for presence of loot boxes, cosmetic, and pay-to-win mechanics, tracking prevalence trends across 2010-2019.",,12.11,0.008231,2026-05-21T05:08:55.547408+00:00
40161348,opus,claude-opus-4-7,scale_validation,high,Translates RLI into Chinese and evaluates psychometric properties via EFA and CFA.,,3.2,0.090281,2026-05-21T05:09:05.309343+00:00
31129456,sonnet,claude-sonnet-4-6,cross_sectional,high,"Abstract explicitly states 'cross-sectional, self-report data were collected' via a single online survey.",,3.9,0.012336,2026-05-21T05:09:07.656102+00:00
31129456,opus,claude-opus-4-7,cross_sectional,high,"Abstract states 'Cross-sectional, self-report data were collected from 618 adult video gamers via an online survey.'",,3.59,0.088669,2026-05-21T05:09:08.506165+00:00
33560241,sonnet,claude-sonnet-4-6,cross_sectional,high,"Single-timepoint questionnaire administered to 1615 adolescents, explicitly titled 'Cross-sectional Observational Study.'",,3.95,0.012685,2026-05-21T05:09:12.096618+00:00
33560241,haiku,claude-haiku-4-5,cross_sectional,high,Title explicitly labels study as 'Cross-sectional Observational Study' with single questionnaire administration.,,7.9,0.006389,2026-05-21T05:09:11.555193+00:00
33560241,opus,claude-opus-4-7,cross_sectional,high,Title explicitly states 'Cross-sectional Observational Study' with single-time questionnaire of 1615 adolescents.,,4.01,0.091088,2026-05-21T05:09:16.049677+00:00
40161348,haiku,claude-haiku-4-5,scale_validation,high,Exploratory and confirmatory factor analyses on separate samples with validity correlations constitute psychometric validation.,,17.78,0.011848,2026-05-21T05:09:02.879789+00:00
31129456,haiku,claude-haiku-4-5,cross_sectional,high,Explicitly states cross-sectional design: self-report survey data from 618 video gamers collected at single time point.,,13.42,0.01126,2026-05-21T05:09:07.583424+00:00
34413815,sonnet,claude-sonnet-4-6,cross_sectional,high,335 students completed a one-time questionnaire assessing gaming and purchase behaviors at a single time point.,,3.7,0.012722,2026-05-21T05:09:20.055349+00:00
34413815,opus,claude-opus-4-7,cross_sectional,high,"Single-time-point questionnaire survey of 335 junior high students assessing gaming, purchases, and adjustment.",,3.47,0.091425,2026-05-21T05:09:20.665139+00:00
34413815,haiku,claude-haiku-4-5,cross_sectional,high,Survey of 335 students completed questionnaires at single time point examining associations between purchase styles and psychosocial outcomes.,,5.46,0.005742,2026-05-21T05:09:19.460390+00:00
32822251,opus,claude-opus-4-7,cross_sectional,high,"Online survey of 300 emerging adults at a single time point examining associations between gaming, gambling, and microtransactions.",,3.56,0.090656,2026-05-21T05:09:24.132767+00:00
32822251,sonnet,claude-sonnet-4-6,cross_sectional,high,An online survey completed once by 300 emerging adults indicates a single time-point cross-sectional design.,,3.99,0.012576,2026-05-21T05:09:23.758387+00:00
31881408,sonnet,claude-sonnet-4-6,cross_sectional,high,Abstract explicitly states 'cross-sectional survey data from a representative sample' collected at a single time point.,,3.5,0.012351,2026-05-21T05:09:27.689276+00:00
31881408,opus,claude-opus-4-7,cross_sectional,high,"Abstract explicitly states 'cross-sectional survey data from a representative sample of 1,137 participants aged 12-16'.",,3.66,0.088819,2026-05-21T05:09:27.746539+00:00
31881408,haiku,claude-haiku-4-5,cross_sectional,high,"Abstract explicitly states 'cross-sectional survey data' from 1,137 adolescents measured at single time point.",,7.09,0.005954,2026-05-21T05:09:24.922799+00:00
35085370,sonnet,claude-sonnet-4-6,systematic_review,high,Follows PRISMA-ScR and Joanna Briggs Institute guidance with explicit database search yielding 299 articles screened.,,2.6,0.012771,2026-05-21T05:09:31.403548+00:00
35085370,opus,claude-opus-4-7,systematic_review,high,PRISMA-ScR scoping review following Joanna Briggs Institute guidance with explicit database search yielding 299 articles and 16 included studies.,,4.0,0.092081,2026-05-21T05:09:32.016720+00:00
32822251,haiku,claude-haiku-4-5,cross_sectional,high,"Online survey of 300 participants at single time point examining correlations between gaming disorder, gambling, and microtransactions.",,15.88,0.006829,2026-05-21T05:09:21.008069+00:00
35085370,haiku,claude-haiku-4-5,systematic_review,high,"Abstract explicitly states PRISMA-ScR methodology with systematic search across three databases, 299 articles screened, 16 included.",,7.5,0.007182,2026-05-21T05:09:31.186290+00:00
32106893,sonnet,claude-sonnet-4-6,cross_sectional,high,Single online survey distributed at one time point measuring gaming characteristics and disorder prevalence in Ireland.,,4.62,0.012602,2026-05-21T05:09:36.018014+00:00
32106893,opus,claude-opus-4-7,cross_sectional,high,Single-time-point online survey of 166 Irish gamers with demographic and gaming disorder screening questions.,,5.48,0.0906,2026-05-21T05:09:36.889989+00:00
32106893,haiku,claude-haiku-4-5,cross_sectional,high,Single-administration online survey assessing gaming disorder prevalence and characteristics in Irish online gamers.,,10.29,0.007561,2026-05-21T05:09:34.002421+00:00
31978759,sonnet,claude-sonnet-4-6,cross_sectional,high,Recruited 428 adult Fortnite players and measured behaviors/spending at a single time point via online survey.,,3.86,0.012482,2026-05-21T05:09:40.634795+00:00
31978759,opus,claude-opus-4-7,cross_sectional,high,"Single-timepoint online survey of 428 Fortnite players measuring spending, motivations, and GD symptoms without repeated measures or manipulation.",,4.66,0.09045,2026-05-21T05:09:42.367191+00:00
38603322,sonnet,claude-sonnet-4-6,cross_sectional,high,Authors conducted a one-time online survey questionnaire with 74 players from Northeast Brazil during the COVID-19 pandemic.,,2.96,0.012591,2026-05-21T05:09:44.492126+00:00
31978759,haiku,claude-haiku-4-5,cross_sectional,high,Recruited 428 players and investigated associations between variables at single time point without follow-up or experimental manipulation.,,9.74,0.007171,2026-05-21T05:09:38.690646+00:00
38603322,opus,claude-opus-4-7,cross_sectional,high,Online survey at a single time point with 74 players from Northeast Brazil using a 21-question questionnaire.,,2.87,0.090487,2026-05-21T05:09:47.028923+00:00
38603322,haiku,claude-haiku-4-5,cross_sectional,high,Abstract explicitly describes single online survey with questionnaire administered to 74 players; no repeated measures or longitudinal follow-up mentioned.,,7.11,0.006051,2026-05-21T05:09:44.289928+00:00
38148441,sonnet,claude-sonnet-4-6,content_analysis,high,Study quantified gambling-like features by analyzing mobile games from Apple's marketplace using structured coding of game mechanics.,,2.97,0.011968,2026-05-21T05:09:48.432764+00:00
38148441,opus,claude-opus-4-7,content_analysis,high,Quantified gambling-like features through structured coding of top-downloaded children's mobile games from Apple's marketplace.,,3.24,0.086269,2026-05-21T05:09:49.895363+00:00
35058842,sonnet,claude-sonnet-4-6,experimental,high,"Participants completed a laboratory task in two conditions (customized vs. default character), with manipulated independent variable and objective performance measures.",,3.26,0.01213,2026-05-21T05:09:51.403132+00:00
35058842,opus,claude-opus-4-7,experimental,high,Within-subjects laboratory experiment manipulating cosmetic customization vs. default character across two conditions in League of Legends.,,4.32,0.086981,2026-05-21T05:09:53.140427+00:00
35058842,haiku,claude-haiku-4-5,experimental,high,Abstract explicitly describes manipulated conditions (customized vs. default character) with measured dependent variables in a controlled laboratory task.,,7.38,0.005891,2026-05-21T05:09:51.395700+00:00
41140132,sonnet,claude-sonnet-4-6,review_commentary,high,The abstract explicitly labels this an editorial offering opinion on regulation and gambling-like game features without systematic search methods.,,3.59,0.011924,2026-05-21T05:09:57.459631+00:00
41140132,opus,claude-opus-4-7,review_commentary,high,"Abstract explicitly identifies itself as an editorial highlighting need for regulatory updates, with no systematic search method.",,5.62,0.086606,2026-05-21T05:09:58.772930+00:00
41140132,haiku,claude-haiku-4-5,review_commentary,high,Abstract explicitly identifies as editorial highlighting regulatory need without empirical methodology.,,11.85,0.009318,2026-05-21T05:09:54.665425+00:00
36274342,haiku,claude-haiku-4-5,cross_sectional,high,Logistic regression examining associations between simulated gambling engagement and gaming disorder at single time point; no prospective or repeated-measures component.,,8.02,0.006655,2026-05-21T05:10:01.049346+00:00
36274342,opus,claude-opus-4-7,cross_sectional,high,"Past-month engagement measured once in an online panel sample of 826 adolescents with logistic regressions, indicating single-timepoint cross-sectional survey.",,3.61,0.092456,2026-05-21T05:10:06.516138+00:00
36274342,sonnet,claude-sonnet-4-6,cross_sectional,high,Single-time-point online survey measuring past-month engagement via logistic regression in a sample of 826 Australian adolescents.,,7.34,0.012899,2026-05-21T05:10:04.400579+00:00
38148441,haiku,claude-haiku-4-5,content_analysis,high,Quantified loot-box mechanics and chance-based features in games—systematic content coding matching content analysis definition.,,25.61,0.01854,2026-05-21T05:09:47.448528+00:00
39302638,sonnet,claude-sonnet-4-6,cross_sectional,high,Abstract explicitly labels the study 'cross-sectional and analytical' with a single-timepoint survey in Spanish schools.,,3.31,0.01312,2026-05-21T05:10:10.125560+00:00
39302638,opus,claude-opus-4-7,cross_sectional,high,Abstract explicitly states 'cross-sectional and analytical study' with single-timepoint survey of 542 participants.,,5.64,0.092944,2026-05-21T05:10:11.739276+00:00
35990074,sonnet,claude-sonnet-4-6,cross_sectional,high,Abstract explicitly states 'cross-sectional data was collected' via online survey at one point in time.,,5.02,0.012827,2026-05-21T05:10:13.440143+00:00
39302638,haiku,claude-haiku-4-5,cross_sectional,high,Title and abstract explicitly label this as 'cross-sectional study' with single time point measurement.,,10.97,0.007886,2026-05-21T05:10:09.071756+00:00
35990074,haiku,claude-haiku-4-5,cross_sectional,high,Title and abstract explicitly describe 'cross-sectional online survey' collecting questionnaire data with regression analysis.,,10.44,0.008,2026-05-21T05:10:13.063096+00:00
35990074,opus,claude-opus-4-7,cross_sectional,high,Abstract explicitly describes a cross-sectional online survey at single time points with 337 questionnaires analyzed via stepwise regression.,,6.27,0.092531,2026-05-21T05:10:17.381652+00:00
36497782,sonnet,claude-sonnet-4-6,cross_sectional,high,Survey of 5062 French online gamers comparing spenders vs non-spenders at a single time point with no follow-up.,,4.45,0.012482,2026-05-21T05:10:20.045794+00:00
36497782,opus,claude-opus-4-7,cross_sectional,high,Single-timepoint survey of a representative sample of 5062 French online gamers describing profiles and comparing subgroups.,,3.68,0.088388,2026-05-21T05:10:23.505874+00:00
36497782,haiku,claude-haiku-4-5,cross_sectional,high,"Compares spending vs. non-spending F2P gamers on sociodemographic, motivational, and behavioral characteristics in single-timepoint representative sample.",,10.9,0.006505,2026-05-21T05:10:18.464317+00:00
37151299,opus,claude-opus-4-7,cross_sectional,medium,"Two independent representative samples (2019, 2022) compared at two time points, not a repeated-measures cohort.",,5.75,0.0861,2026-05-21T05:10:27.190884+00:00
35733406,haiku,claude-haiku-4-5,cross_sectional,high,Survey-based comparison of sex differences in competitive behaviors at a single time point with no follow-up measurement.,,7.31,0.005795,2026-05-21T05:10:29.376596+00:00
37151299,sonnet,claude-sonnet-4-6,longitudinal,high,Study compares representative samples at two time points (2019 pre-pandemic and 2022 post-lockdown) to examine change over time.,,12.35,0.012152,2026-05-21T05:10:24.496789+00:00
35733406,sonnet,claude-sonnet-4-6,cross_sectional,high,Authors surveyed players at a single time point via MTurk and Reddit with no repeated measures.,,5.91,0.012497,2026-05-21T05:10:32.944921+00:00
35733406,opus,claude-opus-4-7,cross_sectional,high,Single-timepoint survey of MMORPG players via MTurk and Reddit measuring competitive behaviors.,,2.74,0.090094,2026-05-21T05:10:36.686332+00:00
32514653,sonnet,claude-sonnet-4-6,cross_sectional,high,"Study uses regression on large random samples at a single time point, comparing loot box and gambling risk factors.",,3.23,0.011912,2026-05-21T05:10:38.859581+00:00
32514653,opus,claude-opus-4-7,cross_sectional,high,Uses large random samples of American youth at a single time point to regress gambling and loot box purchasing on risk/protective factors.,,6.85,0.086006,2026-05-21T05:10:39.430555+00:00
32514653,haiku,claude-haiku-4-5,cross_sectional,high,Regresses loot box purchasing on risk and protective factors using random samples at a single time point.,,9.86,0.007586,2026-05-21T05:10:36.849149+00:00
41842938,opus,claude-opus-4-7,review_commentary,high,"Abstract introduces a theoretical reframing within I-PACE, drawing on existing theories without systematic search or empirical data collection.",,3.78,0.086231,2026-05-21T05:10:46.710041+00:00
41842938,sonnet,claude-sonnet-4-6,review_commentary,high,"Paper proposes a theoretical framework and argument without systematic search or empirical data collection, fitting commentary/position paper.",,6.58,0.01192,2026-05-21T05:10:46.278035+00:00
37151299,haiku,claude-haiku-4-5,longitudinal,medium,Prevalence data compared across two time points (2019 and 2022) in youth samples.,,30.66,0.017368,2026-05-21T05:10:23.653938+00:00
40211461,sonnet,claude-sonnet-4-6,review_commentary,high,"The paper critiques and analyzes homocapitalism conceptually without systematic search, empirical data collection, or experimental manipulation.",,4.1,0.011845,2026-05-21T05:10:52.862775+00:00
40211461,opus,claude-opus-4-7,review_commentary,high,"Abstract presents a critical conceptual analysis of homocapitalism using example games, with no systematic search or empirical method.",,4.45,0.084769,2026-05-21T05:10:54.315094+00:00
41842938,haiku,claude-haiku-4-5,review_commentary,high,Proposes theoretical framework reframing I-PACE without describing original empirical study or systematic review methodology.,,20.07,0.011448,2026-05-21T05:10:42.085697+00:00
33578105,sonnet,claude-sonnet-4-6,systematic_review,high,"Uses structured literature searches to identify surveys, aggregates open-access datasets, and applies explicit search and synthesis methodology.",,3.6,0.012651,2026-05-21T05:10:58.762905+00:00
33578105,opus,claude-opus-4-7,cross_sectional,medium,Secondary analysis aggregating existing cross-sectional survey datasets of loot box purchasers with self-report measures at single time points.,,4.56,0.091463,2026-05-21T05:11:02.154280+00:00
40211461,haiku,claude-haiku-4-5,review_commentary,medium,Theoretical critique of homocapitalism concept using game examples; no systematic methodology or structured content analysis described.,,19.2,0.012777,2026-05-21T05:10:50.487469+00:00
40307922,sonnet,claude-sonnet-4-6,longitudinal,high,Study uses baseline and 6-month follow-up assessments with prospective regression to test migration patterns over time.,,3.19,0.0127,2026-05-21T05:11:06.712299+00:00
40307922,haiku,claude-haiku-4-5,longitudinal,high,Explicit longitudinal design with baseline assessment and 6-month follow-up measurement of gambling outcomes.,,8.61,0.006851,2026-05-21T05:11:02.366254+00:00
40307922,opus,claude-opus-4-7,longitudinal,high,Prospective study with baseline and 6-month follow-up assessments predicting gambling initiation and spend.,,3.49,0.0909,2026-05-21T05:11:09.689840+00:00
31681510,opus,claude-opus-4-7,longitudinal,high,Before-and-after study of the same players (n=112) across two time points around loot box removal.,,3.39,0.088406,2026-05-21T05:11:13.181205+00:00
31681510,sonnet,claude-sonnet-4-6,longitudinal,high,The study measures spending behavior in the same players (n=112) at two time points: before and after loot box removal.,,8.3,0.012471,2026-05-21T05:11:10.978567+00:00
38126068,sonnet,claude-sonnet-4-6,cross_sectional,high,Pre-registered survey conducted at a single time point with 1495+1223 gamers measuring associations between variables.,,3.78,0.012422,2026-05-21T05:11:19.283542+00:00
38126068,opus,claude-opus-4-7,cross_sectional,high,Pre-registered survey of 1495 LB and 1223 nLB gamers at a single time point testing hypothesized associations.,,5.2,0.089494,2026-05-21T05:11:23.061153+00:00
33578105,haiku,claude-haiku-4-5,systematic_review,medium,Structured literature searches identified multiple open-access survey datasets aggregated for meta-analytic synthesis.,,35.33,0.021258,2026-05-21T05:10:56.965808+00:00
38126068,haiku,claude-haiku-4-5,cross_sectional,high,Pre-registered survey measuring two groups at single time point testing associations between psychological variables and loot box engagement.,,18.89,0.007485,2026-05-21T05:11:16.570184+00:00
38557083,haiku,claude-haiku-4-5,scale_validation,high,Applies item response theory to analyze adequacy and item properties of the Risky Loot Box Index instrument.,,8.08,0.006195,2026-05-21T05:11:28.266999+00:00
38557083,sonnet,claude-sonnet-4-6,scale_validation,high,"Study applies IRT (2PL model) to evaluate psychometric properties of the Risky Loot Box Index, including item discrimination and measurement invariance.",,4.75,0.012674,2026-05-21T05:11:32.296819+00:00
38557083,opus,claude-opus-4-7,scale_validation,high,"IRT psychometric analysis of the Risky Loot Box Index, assessing item properties, information function, and gender invariance.",,3.91,0.089475,2026-05-21T05:11:35.459123+00:00
32306232,sonnet,claude-sonnet-4-6,systematic_review,high,Conducted a systematic literature search across five databases selecting 55 articles from 1056 based on pre-determined criteria.,,3.39,0.012456,2026-05-21T05:11:37.051631+00:00
32306232,opus,claude-opus-4-7,systematic_review,high,"Abstract explicitly describes a systematic literature review across five named databases with pre-determined criteria, screening 1056 to 55 articles.",,3.84,0.091069,2026-05-21T05:11:39.372468+00:00
32306232,haiku,claude-haiku-4-5,systematic_review,high,Abstract explicitly describes systematic literature review with searches across five databases and predetermined selection criteria.,,10.76,0.008314,2026-05-21T05:11:36.344575+00:00
33604174,haiku,claude-haiku-4-5,cross_sectional,high,Abstract explicitly identifies design as 'cross-sectional natural experiment' with single-point pandemic measurement.,,9.73,0.007639,2026-05-21T05:11:40.441669+00:00
33604174,opus,claude-opus-4-7,cross_sectional,high,Abstract explicitly describes a 'cross-sectional natural experiment' with single-timepoint survey measures comparing isolated vs non-isolated participants.,,3.51,0.092475,2026-05-21T05:11:47.108239+00:00
37729858,sonnet,claude-sonnet-4-6,cross_sectional,high,A large-scale survey of 2601 adult players conducted at a single time point via Tencent Survey.,,2.74,0.012715,2026-05-21T05:11:50.619447+00:00
33604174,sonnet,claude-sonnet-4-6,experimental,high,Pre-registered natural experiment comparing isolated vs non-isolated groups with COVID-19 quarantine as manipulated independent variable.,,12.36,0.012692,2026-05-21T05:11:43.217687+00:00
37729858,opus,claude-opus-4-7,cross_sectional,high,Large-scale single-timepoint survey of 2601 adult players in China via Tencent Survey with correlational analyses.,,3.55,0.091012,2026-05-21T05:11:53.359781+00:00
