pmid,variant,tier,model,verdict,domains,reason,parse_error,latency_s,cost_usd,call_started_utc
36748997,reword,sonnet,claude-sonnet-4-6,Exclude,,fMRI study of loss aversion in financial gambles with no game context or virtual item component.,,9.56,0.029833,2026-06-03T23:45:13.566738+00:00
36998766,lenient,sonnet,claude-sonnet-4-6,Maybe,D3,Examines loot box labeling compliance; tangentially relates to D3 but focuses on regulatory/monetization aspects without behavioral or psychological measures.,,9.69,0.03082,2026-06-03T23:45:13.564157+00:00
36998766,reword,sonnet,claude-sonnet-4-6,Exclude,,"Focuses on regulatory label compliance and monetization policy, not behavioral or psychological measures of loot box collecting behavior.",,9.8,0.030299,2026-06-03T23:45:13.562175+00:00
36748997,lenient,sonnet,claude-sonnet-4-6,Exclude,D1,Studies loss aversion via fMRI gambling paradigm with no game mechanic or virtual item component.,,7.85,0.025534,2026-06-03T23:45:23.252634+00:00
36998766,reword,haiku,claude-haiku-4-5,Exclude,,"Regulatory compliance audit of loot box labeling; does not examine player hoarding behavior, collecting patterns, or psychological constructs.",,18.82,0.015449,2026-06-03T23:45:13.562054+00:00
36748997,reword,haiku,claude-haiku-4-5,Exclude,,Neuroscience study of loss aversion via experimental gambles; no digital game context or game behavior examined.,,21.61,0.016954,2026-06-03T23:45:13.566540+00:00
26690622,reword,sonnet,claude-sonnet-4-6,Exclude,,Study examines exercise dependence and behavioral addictions in fitness center clients; no game hoarding or virtual item behavior examined.,,4.55,0.025616,2026-06-03T23:45:31.105377+00:00
26690622,reword,haiku,claude-haiku-4-5,Exclude,,Measures pathological video gaming as comorbidity screen; found 0% prevalence. Does not examine game-specific hoarding behaviors or any defined domain.,,14.87,0.01577,2026-06-03T23:45:23.366052+00:00
26690622,lenient,sonnet,claude-sonnet-4-6,Exclude,,Study examines exercise dependence and addictive behaviors in fitness clients with no game-context hoarding or virtual item component.,,5.07,0.028506,2026-06-03T23:45:35.172462+00:00
40730840,reword,sonnet,claude-sonnet-4-6,Exclude,,"Studies psychological ownership in environmental context, not virtual game items or hoarding-related game behaviors.",,4.55,0.027411,2026-06-03T23:45:38.233394+00:00
40730840,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Examines psychological ownership in environmental games for pro-environmental behavior, not virtual item hoarding or any review domain.",,4.02,0.025399,2026-06-03T23:45:42.785321+00:00
40730840,reword,haiku,claude-haiku-4-5,Exclude,,"Environmental serious game intervention focused on pro-environmental behavior; does not examine in-game hoarding, loot boxes, inventory, or completionism.",,11.48,0.015054,2026-06-03T23:45:35.654842+00:00
36748997,lenient,haiku,claude-haiku-4-5,Exclude,,Laboratory loss aversion study unrelated to video games; matches exclusion for gambling without game mechanics.,,28.09,0.021803,2026-06-03T23:45:23.122929+00:00
41822430,reword,sonnet,claude-sonnet-4-6,Maybe,Cross-domain,"Examines gaming disorder and compulsive buying comorbidity with FA via network analysis, but no game-specific behavioral hoarding measures.",,5.61,0.025481,2026-06-03T23:45:47.133852+00:00
26690622,lenient,haiku,claude-haiku-4-5,Exclude,,Study of exercise dependence and behavioral addictions; explicitly zero pathological video gaming. No game-specific hoarding or collecting behaviors examined.,,24.63,0.020294,2026-06-03T23:45:32.384060+00:00
36998766,lenient,haiku,claude-haiku-4-5,Maybe,D3,Discusses loot boxes and potential harms but abstract focuses on label compliance; full-text review needed.,,47.16,0.032818,2026-06-03T23:45:13.562550+00:00
41822430,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Studies food addiction and behavioral addictions (gaming disorder, CBSD) without examining game-specific hoarding, inventory, loot box, or collecting behaviors.",,8.92,0.025912,2026-06-03T23:45:52.744820+00:00
40730840,lenient,haiku,claude-haiku-4-5,Exclude,,"Environmental serious game for behavior change; no virtual item hoarding, collecting, inventory, or loss aversion discussed.",,23.02,0.019553,2026-06-03T23:45:40.245450+00:00
41822430,reword,haiku,claude-haiku-4-5,Exclude,,"Gaming disorder mentioned but paper focuses on food addiction comorbidity, not in-game hoarding or game mechanics.",,22.05,0.019445,2026-06-03T23:45:46.803027+00:00
33028074,reword,sonnet,claude-sonnet-4-6,Exclude,,"Meta-analysis on gaming disorder prevalence; no examination of hoarding, collecting, inventory, loot boxes, or related behavioral domains.",,10.52,0.025511,2026-06-03T23:46:00.719161+00:00
33028074,reword,haiku,claude-haiku-4-5,Exclude,,"Studies gaming disorder prevalence generally, not specific hoarding-related game behaviors (loot, consumables, inventory, completionism) or their connection to hoarding constructs.",,24.03,0.017775,2026-06-03T23:45:57.013972+00:00
41822430,lenient,haiku,claude-haiku-4-5,Exclude,,Paper studies food addiction and behavioral addiction comorbidity; no game-specific hoarding or collecting behaviors examined.,,31.84,0.024954,2026-06-03T23:45:51.215670+00:00
31366420,reword,sonnet,claude-sonnet-4-6,Exclude,,Editorial/commentary on gaming disorder without original empirical data; no focus on hoarding-related game behaviors.,,12.87,0.024469,2026-06-03T23:46:11.238921+00:00
33028074,lenient,sonnet,claude-sonnet-4-6,Maybe,Cross-domain,"Gaming disorder meta-analysis tangentially relevant via OCD/compulsive-behavior link, but does not examine hoarding-specific game behaviors directly.",,24.53,0.034177,2026-06-03T23:46:03.265334+00:00
31366420,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Editorial overview of gaming disorder and treatment; no empirical data on hoarding, inventory, loot boxes, or collecting behaviors.",,10.84,0.0249,2026-06-03T23:46:23.055150+00:00
18710846,reword,sonnet,claude-sonnet-4-6,Exclude,,"Medical education study on ethnic stereotypes; no game behavior, hoarding, or virtual item content.",,8.97,0.025252,2026-06-03T23:46:27.792733+00:00
18710846,reword,haiku,claude-haiku-4-5,Exclude,,Study concerns ethnic stereotypes in medical education; no connection to digital games or hoarding behavior.,,14.99,0.013314,2026-06-03T23:46:24.106886+00:00
31366420,reword,haiku,claude-haiku-4-5,Exclude,,"Narrative review of gaming disorder without specific focus on item hoarding, loot boxes, inventory management, or loss aversion constructs.",,30.85,0.021323,2026-06-03T23:46:08.856722+00:00
18710846,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Medical education study on ethnic stereotypes; no game behavior, virtual items, hoarding, or related constructs.",,10.89,0.025669,2026-06-03T23:46:36.760574+00:00
32500211,reword,sonnet,claude-sonnet-4-6,Exclude,,"Studies addictive disorders and loss aversion clinically, but contains no game mechanic or game behavior component.",,8.78,0.025706,2026-06-03T23:46:39.708699+00:00
18710846,lenient,haiku,claude-haiku-4-5,Exclude,,"Paper examines ethnic stereotypes in medical education; no connection to games, hoarding, or related behaviors.",,16.37,0.015473,2026-06-03T23:46:33.893805+00:00
31366420,lenient,haiku,claude-haiku-4-5,Maybe,,Paper examines gaming disorder broadly; abstract unclear whether specific hoarding-related game behaviors or psychological constructs are discussed.,,31.87,0.023026,2026-06-03T23:46:21.048859+00:00
33028074,lenient,haiku,claude-haiku-4-5,Maybe,Cross-domain,Systematic review of gaming disorder; likely OCD comparison; unclear if specific behavioral domains examined without full text.,,52.71,0.036354,2026-06-03T23:46:01.664316+00:00
32500211,lenient,sonnet,claude-sonnet-4-6,Exclude,,Studies loss aversion in substance/addictive disorders with no game mechanic or virtual item component.,,10.03,0.026092,2026-06-03T23:46:48.487170+00:00
32500211,reword,haiku,claude-haiku-4-5,Exclude,,Studies loss aversion in substance use disorders; no game-related behavior or gaming context examined.,,20.1,0.017465,2026-06-03T23:46:39.096787+00:00
40219036,reword,sonnet,claude-sonnet-4-6,Exclude,,"Studies behavioral addictions and food addiction in clinical patients; no game-item hoarding, inventory, or loot box behavior examined.",,15.6,0.025635,2026-06-03T23:46:52.923392+00:00
40219036,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Studies food addiction and behavioral addictions clinically; no game mechanics, virtual items, or hoarding-in-games content.",,13.18,0.026036,2026-06-03T23:46:58.521374+00:00
40219036,reword,haiku,claude-haiku-4-5,Exclude,,"Studies food addiction comorbidity in behavioral disorders including gaming disorder, but not in-game hoarding behaviors or game-specific collecting mechanics.",,21.93,0.015787,2026-06-03T23:46:50.263310+00:00
26236023,reword,sonnet,claude-sonnet-4-6,Exclude,,"Cyberball is a social exclusion paradigm; no hoarding, inventory, loot box, completionism, or related game-behavior constructs examined.",,9.91,0.025294,2026-06-03T23:47:08.521400+00:00
40219036,lenient,haiku,claude-haiku-4-5,Exclude,,"Examines food addiction across behavioral addictions including gaming disorder, but not in-game hoarding, item retention, or game-specific behaviors.",,24.42,0.016705,2026-06-03T23:46:54.373746+00:00
26236023,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Cyberball is a social exclusion paradigm; no connection to hoarding, collecting, inventory, loot boxes, or any review domain.",,12.14,0.02562,2026-06-03T23:47:12.192215+00:00
26236023,reword,haiku,claude-haiku-4-5,Exclude,,"Studies social exclusion and expectancy violation in Cyberball using ERP, not hoarding, collecting, inventory, or accumulation behaviors.",,27.79,0.015483,2026-06-03T23:46:59.196879+00:00
32500211,lenient,haiku,claude-haiku-4-5,Exclude,,"No mention of games, gaming, or game-related behaviors. Studies impulsive decision-making in substance use and non-substance addictive disorders generally, not gaming contexts.",,40.09,0.026569,2026-06-03T23:46:47.646684+00:00
36814178,reword,sonnet,claude-sonnet-4-6,Exclude,,"Examines behavioral addictions broadly including gaming disorder but without any game-mechanic, hoarding, or virtual-item behavioral focus.",,11.14,0.025271,2026-06-03T23:47:18.800106+00:00
26236023,lenient,haiku,claude-haiku-4-5,Exclude,,"Paper studies neural responses to social exclusion in Cyberball using ERP methods; no examination of hoarding, accumulation, loot boxes, or inventory behaviors.",,21.22,0.016386,2026-06-03T23:47:11.702096+00:00
36814178,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Studies behavioral addictions broadly (gambling, gaming disorder, compulsive buying) via trauma/dissociation lens, without examining any in-game hoarding or collecting behavior.",,14.67,0.025762,2026-06-03T23:47:26.985915+00:00
31387459,reword,haiku,claude-haiku-4-5,Exclude,,"Paper examines search engine optimization and SEO ethics; no video games, game mechanics, or hoarding behaviors discussed.",,17.9,0.01374,2026-06-03T23:47:27.740607+00:00
36814178,reword,haiku,claude-haiku-4-5,Exclude,,"Examines behavioral addictions broadly; no specific game hoarding, loot box, inventory, or completionism behaviors mentioned.",,28.62,0.020775,2026-06-03T23:47:18.431161+00:00
31387459,reword,sonnet,claude-sonnet-4-6,Exclude,,"Study examines SEO optimization practices, not digital games or hoarding-related behaviors; no game mechanic component present.",,20.06,0.025136,2026-06-03T23:47:29.944452+00:00
31387459,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Paper studies SEO optimization ethics; 'gaming' refers to gaming metrics, not digital games or hoarding behaviors.",,15.54,0.025729,2026-06-03T23:47:41.658892+00:00
26165928,reword,sonnet,claude-sonnet-4-6,Exclude,,"Studies behavioral addictions and personality traits without any game-specific hoarding, inventory, or collecting behavioral constructs.",,12.08,0.025522,2026-06-03T23:47:47.049659+00:00
36814178,lenient,haiku,claude-haiku-4-5,Maybe,,Study addresses internet gaming disorder and compulsive buying; full-text review required to assess game-specific hoarding or collecting content.,,35.94,0.025059,2026-06-03T23:47:24.332446+00:00
26165928,lenient,sonnet,claude-sonnet-4-6,Maybe,Cross-domain,"Includes compulsive buying and video game addiction measures, which may link to hoarding constructs, but no direct game-item or inventory focus.",,8.74,0.026059,2026-06-03T23:47:57.197419+00:00
40987326,reword,sonnet,claude-sonnet-4-6,Exclude,,"Study examines cooperative hunting and joint commitment theory in games; no hoarding, collecting, loot box, or inventory behavior measured.",,8.49,0.025252,2026-06-03T23:48:00.272790+00:00
31387459,lenient,haiku,claude-haiku-4-5,Exclude,,"Addresses SEO optimization ethics in web search engines, not digital games or game-related hoarding behavior.",,37.96,0.045483,2026-06-03T23:47:32.919910+00:00
26165928,reword,haiku,claude-haiku-4-5,Exclude,,"Examines video game addiction broadly, not the specific gaming behaviors (hoarding, collecting, completionism, inventory paralysis, backlog) that define review scope.",,28.0,0.019679,2026-06-03T23:47:45.642156+00:00
40987326,reword,haiku,claude-haiku-4-5,Exclude,,"Examines cooperation and joint commitment in hunting games; does not address hoarding, collecting, inventory, completionism, backlog, or loss aversion.",,15.41,0.015589,2026-06-03T23:47:59.125217+00:00
40987326,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Studies cooperative hunting and joint commitment in games; no connection to hoarding, collecting, loot boxes, or any review domain.",,6.82,0.025372,2026-06-03T23:48:08.767995+00:00
40987326,lenient,haiku,claude-haiku-4-5,Exclude,,"Study examines cooperative hunting and joint commitment, not hoarding, loss aversion, collecting, inventory, completionism, or backlog behaviors.",,14.02,0.015133,2026-06-03T23:48:05.936870+00:00
19839446,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Business performance measurement article with no game, hoarding, or behavioral psychology content.",,7.63,0.025631,2026-06-03T23:48:15.586137+00:00
19839446,reword,sonnet,claude-sonnet-4-6,Exclude,,"Business performance measurement article with no game, hoarding, or behavioral psychology component.",,9.68,0.02526,2026-06-03T23:48:13.638229+00:00
19839446,reword,haiku,claude-haiku-4-5,Exclude,,The paper discusses business performance measurement in non-game contexts. It is not peer-reviewed academic research and contains no game-related content.,,16.34,0.015148,2026-06-03T23:48:10.875972+00:00
19839446,lenient,haiku,claude-haiku-4-5,Exclude,,Not about games or game-related behaviors; concerns corporate performance measurement instead.,,16.46,0.013545,2026-06-03T23:48:14.533885+00:00
26441749,reword,sonnet,claude-sonnet-4-6,Exclude,,Shopping addiction scale with no game component; not connected to any in-game behavioral domain.,,9.35,0.025781,2026-06-03T23:48:23.222078+00:00
26441749,reword,haiku,claude-haiku-4-5,Exclude,,"Addresses shopping addiction generally, not in-game behaviors. No game mechanics, loot boxes, gacha, inventory, or completionism examined.",,14.08,0.01407,2026-06-03T23:48:19.952485+00:00
26441749,lenient,sonnet,claude-sonnet-4-6,Exclude,,Validates a shopping addiction scale with no game component; purely compulsive-buying measurement without any game or virtual-item context.,,12.29,0.026287,2026-06-03T23:48:27.216154+00:00
26441749,lenient,haiku,claude-haiku-4-5,Exclude,,"Shopping addiction scale validation with no game component; purely retail-focused, unrelated to digital game contexts.",,16.23,0.014029,2026-06-03T23:48:23.316325+00:00
27100787,reword,sonnet,claude-sonnet-4-6,Exclude,,"Cyberball is a social exclusion paradigm; paper examines ERP neural responses, not hoarding, collecting, or game item behavior.",,10.82,0.025834,2026-06-03T23:48:32.569743+00:00
27100787,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Cyberball social exclusion ERP study; no connection to hoarding, collecting, inventory, loot boxes, or game behavioral domains.",,8.29,0.02619,2026-06-03T23:48:39.502647+00:00
40291985,reword,sonnet,claude-sonnet-4-6,Exclude,,"Narrative review on spirituality and behavioural addictions; no game-specific hoarding, inventory, or collecting constructs examined.",,6.06,0.024547,2026-06-03T23:48:43.387871+00:00
27100787,reword,haiku,claude-haiku-4-5,Exclude,,"Uses Cyberball game but studies social exclusion neuroscience, not hoarding-related behaviors or psychological ownership.",,18.77,0.014703,2026-06-03T23:48:30.993547+00:00
26165928,lenient,haiku,claude-haiku-4-5,Maybe,,Measures behavioral addictions broadly; full-text needed to confirm whether video game addiction measure includes hoarding-related game constructs.,,61.61,0.038098,2026-06-03T23:47:50.007732+00:00
40291985,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Narrative review on spirituality and behavioural addictions; no game-specific hoarding, inventory, loot box, or collecting behavior examined.",,4.93,0.027467,2026-06-03T23:48:49.444373+00:00
27100787,lenient,haiku,claude-haiku-4-5,Exclude,,"Studies social exclusion mechanisms in Cyberball via ERP, not hoarding-related game behaviors.",,22.38,0.018422,2026-06-03T23:48:34.028395+00:00
36495471,reword,sonnet,claude-sonnet-4-6,Exclude,,Systematic review of internet-based interventions for behavioral addictions; no in-game item retention or hoarding behavior domain examined.,,5.09,0.025346,2026-06-03T23:48:51.621538+00:00
40291985,reword,haiku,claude-haiku-4-5,Exclude,,Narrative review of behavioral addictions broadly; not systematic/empirical study; lacks game-specific hoarding behavior domain focus.,,21.52,0.019103,2026-06-03T23:48:39.551561+00:00
33835041,reword,sonnet,claude-sonnet-4-6,Exclude,,"National addiction survey with no game-specific hoarding, inventory, loot box, or completionism behavioral measures.",,7.42,0.025485,2026-06-03T23:49:01.073697+00:00
33835041,reword,haiku,claude-haiku-4-5,Exclude,,"General addiction survey including online gaming among many behavioral addictions, without focus on game-specific hoarding, loot box, or inventory behaviors.",,15.83,0.016221,2026-06-03T23:48:56.716168+00:00
36495471,lenient,sonnet,claude-sonnet-4-6,Maybe,Cross-domain,Systematic review mentions both hoarding disorder and gaming disorder as behavioral addictions; full text may reveal cross-domain links.,,17.48,0.038631,2026-06-03T23:48:56.414011+00:00
36495471,reword,haiku,claude-haiku-4-5,Exclude,,"Systematic review of behavioral addiction interventions, not hoarding behaviors in games; primarily gambling-focused.",,25.51,0.02326,2026-06-03T23:48:49.765066+00:00
40291985,lenient,haiku,claude-haiku-4-5,Maybe,,Narrative review covering gaming disorder; requires full-text review to assess relevance to game hoarding behaviors.,,31.02,0.02772,2026-06-03T23:48:47.793035+00:00
33835041,lenient,sonnet,claude-sonnet-4-6,Exclude,,"National addiction survey with no game-item hoarding, loot box, inventory, or completionism component; gaming measured only as problematic use.",,7.37,0.028465,2026-06-03T23:49:12.551306+00:00
36495471,lenient,haiku,claude-haiku-4-5,Maybe,Cross-domain,Systematic review mentioning gaming and hoarding disorders; full-text review needed to confirm game-behavior focus.,,27.34,0.023674,2026-06-03T23:48:54.377597+00:00
27199853,reword,sonnet,claude-sonnet-4-6,Exclude,,Clinical study of compulsive buying and gambling disorder comorbidity with no game mechanic or virtual item component.,,7.33,0.025624,2026-06-03T23:49:15.277691+00:00
27199853,lenient,sonnet,claude-sonnet-4-6,Exclude,,Examines compulsive buying and gambling disorder comorbidity in clinical patients; no game mechanic or virtual item component.,,9.14,0.02604,2026-06-03T23:49:19.921858+00:00
27199853,reword,haiku,claude-haiku-4-5,Exclude,,"Study examines compulsive buying and gambling disorder comorbidity in clinical patients, not in game contexts or with game mechanics.",,16.6,0.015328,2026-06-03T23:49:13.890564+00:00
35855504,reword,sonnet,claude-sonnet-4-6,Exclude,,"Narrative review of internet addictions during COVID-19 with no game-specific hoarding, loot box, inventory, or virtual item behavioral focus.",,9.56,0.025309,2026-06-03T23:49:22.606717+00:00
33835041,lenient,haiku,claude-haiku-4-5,Maybe,,Methodology paper for broad addiction survey; mentions problematic online gaming but doesn't specify hoarding-related game behaviors.,,28.27,0.024535,2026-06-03T23:49:08.491573+00:00
35855504,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Narrative review of internet addictions broadly; no game-specific hoarding, inventory, loot box, or collecting behavior examined.",,8.41,0.02565,2026-06-03T23:49:30.493254+00:00
34375360,reword,sonnet,claude-sonnet-4-6,Exclude,,"Studies cannabis abuse associations with problematic video gaming as a dysregulated behavior, lacking any hoarding, collecting, or inventory-related game constructs.",,6.98,0.025579,2026-06-03T23:49:36.765732+00:00
35855504,reword,haiku,claude-haiku-4-5,Exclude,,"Narrative review of broad internet addictions; lacks focus on specific in-game hoarding, gacha, or inventory behaviors. Does not meet empirical-study requirement.",,22.05,0.017158,2026-06-03T23:49:21.717027+00:00
34375360,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Focuses on cannabis abuse and addictive behaviors broadly; no game items, inventory, loot boxes, or hoarding constructs examined.",,7.56,0.02592,2026-06-03T23:49:43.744806+00:00
34375360,reword,haiku,claude-haiku-4-5,Exclude,,"Paper examines broad problematic video gaming and compulsive buying as separate outcomes, not specific in-game hoarding or item-retention behaviors.",,23.82,0.020533,2026-06-03T23:49:32.171891+00:00
34992568,reword,sonnet,claude-sonnet-4-6,Exclude,,Study examines knowledge hiding in organizations; no game component or gaming behavior present.,,6.28,0.024986,2026-06-03T23:49:51.303016+00:00
34992568,reword,haiku,claude-haiku-4-5,Exclude,,"Studies organizational knowledge hiding in educational contexts; no game mechanics, virtual items, or game-related constructs examined.",,15.93,0.01577,2026-06-03T23:49:43.767214+00:00
34992568,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Study examines knowledge hiding in organizations, with no game component or hoarding-related game behavior.",,5.38,0.025462,2026-06-03T23:49:57.579190+00:00
35855504,lenient,haiku,claude-haiku-4-5,Maybe,,"Narrative review of internet addictions including gaming disorder and compulsive buying, but doesn't focus on hoarding-related gaming behaviors.",,37.02,0.030181,2026-06-03T23:49:29.060098+00:00
34992568,lenient,haiku,claude-haiku-4-5,Exclude,,"Study concerns organizational knowledge hiding, not digital games; zero game-related content.",,12.65,0.014327,2026-06-03T23:49:55.988924+00:00
30110801,reword,sonnet,claude-sonnet-4-6,Exclude,,"Physics study of gambling logs using random-walk models; no game mechanic, behavioral, or psychological hoarding constructs examined.",,6.83,0.024615,2026-06-03T23:50:02.955919+00:00
27199853,lenient,haiku,claude-haiku-4-5,Maybe,Cross-domain,Compulsive buying and gambling study; gaming mentioned as comorbid addiction; full-text review needed to assess game behavior relevance.,,51.25,0.039226,2026-06-03T23:49:18.816259+00:00
30110801,lenient,sonnet,claude-sonnet-4-6,Exclude,,Pure statistical physics analysis of gambling logs with no behavioral/psychological measures or game-mechanic component.,,6.22,0.024941,2026-06-03T23:50:08.638549+00:00
30110801,reword,haiku,claude-haiku-4-5,Exclude,,"Physics-focused random walk analysis of gambling patterns; lacks behavioral or psychological measures related to hoarding, loss aversion, or collecting constructs.",,16.08,0.017226,2026-06-03T23:49:59.696744+00:00
41037849,reword,sonnet,claude-sonnet-4-6,Exclude,,Focuses on gaming disorder and financial overspending without behavioral or psychological hoarding constructs; no relevant domain coverage.,,7.25,0.025234,2026-06-03T23:50:10.068123+00:00
41037849,lenient,sonnet,claude-sonnet-4-6,Maybe,D3|Cross-domain,Examines in-game microtransaction overspending linked to gaming disorder; tangentially relevant to D3 and compulsive-buying constructs.,,6.69,0.025845,2026-06-03T23:50:15.775292+00:00
34375360,lenient,haiku,claude-haiku-4-5,Maybe,,Study links substance abuse with problematic gaming and other addictions but does not examine specific game hoarding constructs.,,48.52,0.039202,2026-06-03T23:49:38.901530+00:00
41454725,reword,sonnet,claude-sonnet-4-6,Exclude,,"National addiction epidemiology survey with no game-specific hoarding, inventory, or virtual item behavioral measures.",,4.99,0.027977,2026-06-03T23:50:22.463457+00:00
41454725,lenient,sonnet,claude-sonnet-4-6,Exclude,,"National addiction epidemiology survey; includes gaming disorder but no game-specific hoarding, loot box, inventory, or collecting behavior examined.",,6.44,0.025995,2026-06-03T23:50:27.449512+00:00
40569695,reword,haiku,claude-haiku-4-5,Exclude,,"Examines loot box advertising compliance, not player collecting behavior or hoarding-related psychological constructs.",,14.21,0.016498,2026-06-03T23:50:33.887780+00:00
30110801,lenient,haiku,claude-haiku-4-5,Maybe,,Title mentions virtual-item gambling but abstract describes mathematical modeling of pure gambling patterns; unclear if paper addresses item-related behavioral domains.,,45.33,0.032885,2026-06-03T23:50:06.077820+00:00
41454725,lenient,haiku,claude-haiku-4-5,Maybe,,Methodological paper on survey measuring gaming disorder and compulsive buying; game-specific hoarding behaviors not evident in abstract; full-text review needed.,,28.24,0.022787,2026-06-03T23:50:27.424519+00:00
40569695,reword,sonnet,claude-sonnet-4-6,Exclude,,"Studies loot box advertising compliance and regulation, not player hoarding behavior or psychological constructs.",,8.05,0.025309,2026-06-03T23:50:48.095227+00:00
41454725,reword,haiku,claude-haiku-4-5,Maybe,,Surveys gaming disorder and compulsive buying; unclear if specific in-game hoarding behaviors examined.,,40.24,0.028748,2026-06-03T23:50:17.319689+00:00
41037849,reword,haiku,claude-haiku-4-5,Exclude,,"Paper addresses gaming disorder and overspending, not item hoarding, collecting, or inventory management.",,50.98,0.038908,2026-06-03T23:50:09.786053+00:00
40569695,lenient,sonnet,claude-sonnet-4-6,Maybe,D3,"Studies loot box advertising compliance; behavioral/psychological measures absent, but loot box prevalence data may inform D3 context.",,6.78,0.02583,2026-06-03T23:50:55.670110+00:00
26500478,reword,sonnet,claude-sonnet-4-6,Exclude,,"Focuses on brain stimulation treatment for behavioral addictions; no game mechanics, virtual items, or hoarding-related game behavior examined.",,7.68,0.025192,2026-06-03T23:50:57.559273+00:00
41037849,lenient,haiku,claude-haiku-4-5,Include,D3|Cross-domain,Peer-reviewed empirical study of overspending on in-game purchases linked to gaming disorder; relevant to D3 and compulsive-behavior domains.,,51.07,0.037761,2026-06-03T23:50:14.863618+00:00
26500478,lenient,sonnet,claude-sonnet-4-6,Exclude,,"Systematic review of brain stimulation for behavioral addictions; no game mechanics, inventory, or hoarding-domain content.",,4.8,0.025519,2026-06-03T23:51:02.447680+00:00
